# step,acceptance,delta_H
700, 0.694722, -0.24949
701, 0.695157, -0.417552
702, 0.69559, -1.65698
703, 0.696023, -0.687947
704, 0.695035, 1.10404
705, 0.695467, 0.796948
706, 0.695898, -0.0712066
707, 0.694915, 0.214552
708, 0.695346, 0.377791
709, 0.694366, 0.496094
710, 0.694796, 0.452098
711, 0.695225, 0.761915
712, 0.69425, 1.18024
713, 0.694678, -1.2029
714, 0.693706, 1.04525
715, 0.692737, 0.342768
716, 0.693166, 0.260892
717, 0.693593, 0.74126
718, 0.692629, 0.877016
719, 0.691667, 1.40959
720, 0.692094, -0.600454
721, 0.691136, 0.623747
722, 0.691563, -0.18988
723, 0.691989, -0.0944957
724, 0.691034, 0.467201
725, 0.69146, -0.526144
726, 0.691884, -0.736306
727, 0.692308, -0.905359
728, 0.69273, 0.327248
729, 0.691781, 1.67409
730, 0.690834, 0.818138
731, 0.691257, 0.651357
732, 0.691678, 0.841366
733, 0.692098, -0.29315
734, 0.692517, -0.277595
735, 0.692935, 0.184035
736, 0.693351, -0.122437
737, 0.693767, 0.15622
738, 0.694181, 0.5127
739, 0.694595, 0.140939
740, 0.695007, 0.333624
741, 0.695418, -1.33419
742, 0.695828, -0.210062
743, 0.696237, 0.107916
744, 0.696644, -0.314549
745, 0.697051, -0.206128
746, 0.697456, 1.24737
747, 0.697861, -0.04316
748, 0.698264, -0.473672
749, 0.697333, 1.36703
750, 0.697736, 0.877773
751, 0.696809, 0.656489
752, 0.697211, -0.0238902
753, 0.696286, 0.774909
754, 0.696689, 0.32735
755, 0.69709, 0.07126
756, 0.69749, 0.0284624
757, 0.69657, 1.17555
758, 0.69697, 0.370199
759, 0.697368, -0.725177
760, 0.697766, -0.153781
761, 0.69685, 0.853628
762, 0.695937, 0.864786
763, 0.695026, 1.48186
764, 0.695425, -0.322941
765, 0.695822, -1.4877
766, 0.694915, 0.66581
767, 0.695312, -0.0727624
768, 0.695709, 0.248307
769, 0.694805, 0.544168
770, 0.695201, -0.821189
771, 0.695596, -0.973748
772, 0.69599, -0.66782
773, 0.69509, 0.688282
774, 0.695484, 0.18153
775, 0.695876, -0.350549
776, 0.696268, 0.34281
777, 0.696658, 0.163417
778, 0.697047, -0.718257
779, 0.696154, 0.628924
780, 0.696543, -0.102956
781, 0.696931, -0.124709
782, 0.697318, 0.795076
783, 0.697704, -0.596548
784, 0.696815, 1.84566
785, 0.697201, -0.173993
786, 0.697586, -0.178719
787, 0.69797, 0.108572
788, 0.698352, -0.979179
789, 0.698734, -0.750973
790, 0.699115, 0.133886
791, 0.699495, 0.226725
792, 0.699874, 0.0809963
793, 0.700252, 0.0674903
794, 0.700629, 0.310141
795, 0.701005, 1.11183
796, 0.70138, -0.14037
797, 0.701754, -0.887744
798, 0.702128, 1.72628
799, 0.70125, 1.38991
800, 0.701623, 0.388987
801, 0.701995, 0.203185
802, 0.701121, 0.825991
803, 0.700249, 0.429111
804, 0.700621, 0.0143661
805, 0.700993, -0.419977
806, 0.700124, 0.782427
807, 0.699257, 1.01388
808, 0.699629, -0.372125
809, 0.698765, 0.645669
810, 0.699137, 0.767042
811, 0.698276, 1.02371
812, 0.698647, 0.0583603
813, 0.699017, -0.924299
814, 0.69816, 1.18677
815, 0.698529, -0.32277
816, 0.697674, 0.539613
817, 0.696822, 1.61629
818, 0.695971, 1.6922
819, 0.696341, -0.358369
820, 0.696711, 0.276781
821, 0.695864, 1.44471
822, 0.696233, 0.792633
823, 0.696602, 0.380273
824, 0.695758, 0.681953
825, 0.696126, -0.648123
826, 0.696493, -0.941503
827, 0.69686, -0.501566
828, 0.697226, -0.263185
829, 0.69759, 0.24431
830, 0.697954, -1.08974
831, 0.698317, -0.59215
832, 0.698679, 0.0128868
833, 0.699041, 0.292306
834, 0.699401, -0.621936
835, 0.699761, -1.16403
836, 0.698925, 0.708222
837, 0.698091, 1.00089
838, 0.698451, 0.217891
839, 0.69881, 0.630343
840, 0.697979, 1.66603
841, 0.698337, -1.24986
842, 0.698695, 0.263392
843, 0.699052, -0.907503
844, 0.698225, 1.90818
845, 0.698582, 0.249657
846, 0.698937, -0.425898
847, 0.699292, -0.60834
848, 0.699647, -0.186063
849, 0.698824, 0.903906
850, 0.699177, -0.551651
851, 0.699531, 0.773145
852, 0.69871, 1.05962
853, 0.699063, -0.171468
854, 0.699415, -0.578207
855, 0.699766, -0.3919
856, 0.700117, -1.05486
857, 0.699301, 0.943597
858, 0.699651, -0.673338
859, 0.698837, 0.808081
860, 0.699187, 0.89803
861, 0.698376, 0.912999
862, 0.698725, 0.498788
863, 0.699074, 0.865864
864, 0.699422, 0.678092
865, 0.699769, -0.665334
866, 0.700115, -0.893471
867, 0.699309, 0.465901
868, 0.698504, 1.18944
869, 0.698851, 0.187072
870, 0.698048, 0.644363
871, 0.698394, -0.977967
872, 0.697595, 0.947094
873, 0.696796, 0.523085
874, 0.697143, 0.451318
875, 0.697489, -0.361086
876, 0.697834, -1.77095
877, 0.697039, 1.25438
878, 0.697383, -1.51646
879, 0.697727, -0.210157
880, 0.69807, 0.0611169
881, 0.698413, -0.0998104
882, 0.697622, 0.652537
883, 0.697964, 1.12093
884, 0.697175, 1.45296
885, 0.697517, -0.548094
886, 0.697858, -1.50147
887, 0.697072, 1.10457
888, 0.697413, -1.2977
889, 0.696629, 1.52659
890, 0.69697, -0.331762
891, 0.697309, -0.594547
892, 0.697648, 0.527366
893, 0.697987, -0.0644413
894, 0.698324, 0.670471
895, 0.698661, 0.356078
896, 0.698997, 0.759654
897, 0.699332, -0.149702
898, 0.699666, -0.177588
899, 0.698889, 0.623478
900, 0.699223, 1.07214
901, 0.699557, 0.604327
902, 0.699889, 0.674002
903, 0.700221, 0.267699
904, 0.700552, 0.687125
905, 0.700883, 1.21148
906, 0.70011, 1.23974
907, 0.700441, 0.219335
908, 0.70077, 1.0293
909, 0.701099, 0.254831
910, 0.701427, 0.302452
911, 0.701754, 0.0359215
912, 0.702081, 0.0040982
913, 0.702407, 0.899374
914, 0.702732, -0.0696639
915, 0.701965, 0.0593032
916, 0.70229, 0.769944
917, 0.702614, -0.648029
918, 0.702938, -0.000967906
919, 0.703261, 0.941007
920, 0.703583, 0.342827
921, 0.70282, 0.912983
922, 0.702059, 0.126397
923, 0.702381, -1.1851
924, 0.702703, -0.748683
925, 0.701944, 0.989853
926, 0.701187, 0.155346
927, 0.701509, 0.294122
928, 0.70183, -0.528547
929, 0.702151, 0.303971
930, 0.70247, 1.00374
931, 0.70279, 0.119236
932, 0.702036, 1.18111
933, 0.702355, 0.173835
934, 0.702674, -0.490184
935, 0.702991, 0.124533
936, 0.703308, -0.665184
937, 0.702559, 0.354702
938, 0.70181, 0.75389
939, 0.702128, 0.455345
